Max_Length,Max_Weight,Input_Length,Input_Weight,Next_Fit,First_Fit,Best_Fit_W_W,Best_Fit_W_L
21.309717,189.64388, [8.14971|9.54821|10.301301|11.210937|11.571675|12.164842|13.845113|13.850278|14.523785|14.86693], [1.9966788|2.3393116|2.5238187|2.7466795|2.8350604|2.9803863|3.3920527|3.3933182|3.5583272|3.6423979],9,9,9,9
11.618266,135.75075, [6.437375|8.348657|8.95482|9.88438|10.704788|12.493743|13.331457|13.594166|14.352844|15.9933815], [1.5771569|2.045421|2.1939309|2.4216733|2.622673|3.060967|3.266207|3.3305707|3.5164468|3.9183784],5,10,10,10
16.339832,268.7081, [6.587576|7.912693|8.452588|9.883677|11.896961|13.515769|13.697332|13.964756|14.578325|16.104017], [1.6139561|1.9386098|2.070884|2.4215007|2.9147556|3.3113635|3.3558464|3.4213653|3.5716896|3.9454842],9,9,10,10
40.57913,275.78226, [8.315168|8.3649025|9.229805|11.049352|11.437564|11.890137|12.817382|13.135184|14.159405|14.297939], [2.0372162|2.049401|2.2613022|2.707091|2.8022032|2.9130836|3.1402586|3.21812|3.4690542|3.502995],4,4,4,4
39.049152,114.84738, [6.455497|6.8278036|6.9425206|8.169209|10.301234|11.038487|12.608608|13.789631|16.811897|16.829071], [1.5815967|1.6728119|1.7009176|2.001456|2.5238023|2.7044294|3.089109|3.3784595|4.1189146|4.123122],3,3,4,4
13.464202,146.52196, [6.460825|7.073651|8.484226|11.72529|12.028913|12.206547|13.925891|13.973248|15.795565|16.554293], [1.5829021|1.7330445|2.0786355|2.8726962|2.9470835|2.990604|3.4118433|3.4234457|3.8699133|4.055802],6,10,10,10
38.36645,168.97104, [6.936524|7.572887|9.023765|10.521398|10.734586|11.594344|12.252088|13.781294|15.640602|16.273203], [1.6994483|1.8553573|2.2108223|2.5777423|2.6299734|2.8406143|3.0017614|3.376417|3.8319476|3.9869347],4,4,4,4
6.825884,269.99023, [6.601737|7.6380696|9.677144|10.026917|10.373499|13.563386|15.892811|16.04261|16.083511|16.548208], [1.6174256|1.871327|2.3709004|2.4565947|2.5415072|3.3230295|3.8937387|3.9304395|3.9404602|4.054311],1,10,10,10
35.6697,389.69153, [6.092247|6.1159964|8.4636545|9.393816|10.40343|12.942803|13.6208935|14.316497|16.094433|16.968386], [1.4926006|1.4984192|2.0735953|2.3014848|2.5488403|3.170987|3.3371189|3.5075417|3.943136|4.1572547],4,4,4,4
31.611328,221.6582, [6.2258644|12.33849|12.575815|13.922151|14.027226|14.079916|14.318426|15.039189|15.208962|16.56721], [1.5253367|3.02293|3.0810747|3.4109268|3.4366705|3.4495795|3.5080144|3.6846013|3.7261958|4.058966],5,5,6,6
10.298618,37.828804, [7.806287|9.566122|12.057017|13.390377|14.092044|15.084806|15.167788|15.566528|15.737259|16.74766], [1.9125403|2.3437|2.9539692|3.2806423|3.4525506|3.6957777|3.7161078|3.8137994|3.8556285|4.1031766],2,10,10,10
24.879032,210.60457, [6.3848267|6.8534536|7.641966|7.642948|9.401345|12.800699|13.571499|13.6630535|14.746691|14.75676], [1.5642825|1.6790961|1.8722817|1.8725224|2.3033295|3.1361713|3.3250172|3.347448|3.6129391|3.615406],7,7,7,7
18.310087,139.75406, [6.3014593|6.980975|7.7486277|7.783325|8.627538|10.448731|11.564327|14.44228|14.946604|16.771992], [1.5438576|1.710339|1.8984138|1.9069147|2.1137466|2.5599391|2.83326|3.5383584|3.661918|4.109138],8,8,8,8
24.340351,460.61194, [7.117979|10.151106|10.292445|10.368011|10.98353|11.11694|11.479238|14.463987|15.409212|15.544019], [1.7439048|2.487021|2.5216491|2.5401628|2.690965|2.7236502|2.8124132|3.5436769|3.7752569|3.8082845],7,7,7,7
23.721405,282.8348, [6.146284|7.0596366|8.02562|9.298449|12.173407|12.297882|12.593113|14.683092|15.515414|16.306747], [1.5058396|1.7296109|1.966277|2.2781198|2.9824846|3.0129812|3.0853126|3.5973575|3.8012764|3.9951532],7,7,8,8
29.52761,378.58832, [6.05754|7.300747|8.001571|8.030303|9.223913|10.720941|11.787871|12.033017|13.443432|14.279868], [1.4840972|1.7886829|1.9603848|1.9674243|2.2598588|2.6266305|2.8880284|2.9480891|3.2936409|3.4985676],4,4,4,4
